cod;nome;período;valor
12;AC;2007;8
33;RJ;2007;187
25;PB;2007;8
28;SE;2007;9
14;RR;2007;8
24;RN;2007;11
31;MG;2007;131
23;CE;2008;18
33;RJ;2008;133
14;RR;2008;9
24;RN;2008;7
25;PB;2008;8
12;AC;2008;5
29;BA;2008;34
31;MG;2008;133
17;TO;2008;4
28;SE;2008;8
41;PR;2008;244
11;RO;2008;16
13;AM;2008;7
42;SC;2008;74
35;SP;2008;451
26;PE;2008;45
32;ES;2008;30
16;AP;2008;0
50;MS;2008;38
43;RS;2008;184
22;PI;2008;6
27;AL;2008;3
52;GO;2008;49
21;MA;2008;12
51;MT;2008;27
53;DF;2008;7
15;PA;2008;27
15;PA;2009;23
52;GO;2009;45
35;SP;2009;413
53;DF;2009;14
43;RS;2009;186
29;BA;2009;32
41;PR;2009;274
32;ES;2009;32
51;MT;2009;38
31;MG;2009;132
22;PI;2009;7
25;PB;2009;10
16;AP;2009;2
17;TO;2009;8
13;AM;2009;7
23;CE;2009;25
42;SC;2009;82
33;RJ;2009;145
50;MS;2009;40
11;RO;2009;15
27;AL;2009;2
28;SE;2009;9
24;RN;2009;17
12;AC;2009;6
14;RR;2009;11
26;PE;2009;42
21;MA;2009;19
26;PE;2010;29
32;ES;2010;34
16;AP;2010;2
15;PA;2010;30
42;SC;2010;94
50;MS;2010;33
33;RJ;2010;128
21;MA;2010;18
29;BA;2010;42
53;DF;2010;15
22;PI;2010;10
27;AL;2010;6
31;MG;2010;141
35;SP;2010;424
52;GO;2010;48
12;AC;2010;3
24;RN;2010;13
51;MT;2010;26
23;CE;2010;27
25;PB;2010;8
28;SE;2010;6
13;AM;2010;5
14;RR;2010;2
11;RO;2010;11
43;RS;2010;185
41;PR;2010;283
17;TO;2010;3
32;ES;2011;40
12;AC;2011;4
27;AL;2011;7
16;AP;2011;3
13;AM;2011;15
29;BA;2011;40
23;CE;2011;24
53;DF;2011;16
52;GO;2011;67
21;MA;2011;20
51;MT;2011;27
50;MS;2011;38
31;MG;2011;165
15;PA;2011;27
25;PB;2011;18
41;PR;2011;220
26;PE;2011;21
22;PI;2011;4
33;RJ;2011;127
24;RN;2011;11
43;RS;2011;180
11;RO;2011;14
14;RR;2011;1
42;SC;2011;68
35;SP;2011;380
28;SE;2011;9
17;TO;2011;11
50;MS;2012;32
14;RR;2012;10
24;RN;2012;16
31;MG;2012;148
15;PA;2012;27
25;PB;2012;8
27;AL;2012;12
16;AP;2012;2
28;SE;2012;9
13;AM;2012;28
29;BA;2012;42
17;TO;2012;9
22;PI;2012;5
23;CE;2012;26
35;SP;2012;370
53;DF;2012;11
43;RS;2012;202
26;PE;2012;21
32;ES;2012;17
52;GO;2012;67
42;SC;2012;85
33;RJ;2012;125
41;PR;2012;248
21;MA;2012;16
11;RO;2012;13
12;AC;2012;1
51;MT;2012;35
33;RJ;2013;137
43;RS;2013;173
22;PI;2013;10
26;PE;2013;27
41;PR;2013;223
11;RO;2013;20
25;PB;2013;12
15;PA;2013;35
31;MG;2013;145
14;RR;2013;21
50;MS;2013;34
51;MT;2013;28
21;MA;2013;23
24;RN;2013;20
42;SC;2013;82
52;GO;2013;66
32;ES;2013;36
53;DF;2013;12
35;SP;2013;401
23;CE;2013;34
29;BA;2013;42
13;AM;2013;22
28;SE;2013;8
16;AP;2013;2
27;AL;2013;18
12;AC;2013;3
17;TO;2013;7
22;PI;2014;4
43;RS;2014;196
21;MA;2014;21
53;DF;2014;13
11;RO;2014;15
26;PE;2014;33
24;RN;2014;21
31;MG;2014;141
12;AC;2014;4
35;SP;2014;371
27;AL;2014;4
29;BA;2014;50
23;CE;2014;25
41;PR;2014;218
17;TO;2014;6
42;SC;2014;88
51;MT;2014;33
15;PA;2014;21
25;PB;2014;13
14;RR;2014;14
52;GO;2014;77
33;RJ;2014;164
16;AP;2014;1
28;SE;2014;9
50;MS;2014;40
32;ES;2014;25
13;AM;2014;13
13;AM;2015;18
51;MT;2015;30
21;MA;2015;27
27;AL;2015;1
42;SC;2015;79
52;GO;2015;76
43;RS;2015;223
41;PR;2015;193
32;ES;2015;24
53;DF;2015;13
12;AC;2015;5
26;PE;2015;32
35;SP;2015;349
23;CE;2015;21
17;TO;2015;8
29;BA;2015;42
22;PI;2015;8
24;RN;2015;9
33;RJ;2015;150
28;SE;2015;5
15;PA;2015;20
16;AP;2015;3
25;PB;2015;14
31;MG;2015;139
11;RO;2015;13
14;RR;2015;17
50;MS;2015;20
25;PB;2016;15
22;PI;2016;3
11;RO;2016;18
32;ES;2016;18
50;MS;2016;34
28;SE;2016;5
16;AP;2016;2
52;GO;2016;54
15;PA;2016;14
17;TO;2016;10
42;SC;2016;80
27;AL;2016;6
51;MT;2016;26
31;MG;2016;122
23;CE;2016;14
14;RR;2016;14
26;PE;2016;39
29;BA;2016;50
33;RJ;2016;142
35;SP;2016;302
53;DF;2016;11
41;PR;2016;190
13;AM;2016;22
43;RS;2016;250
12;AC;2016;4
24;RN;2016;19
21;MA;2016;24
53;DF;2017;12
11;RO;2017;22
12;AC;2017;9
13;AM;2017;16
14;RR;2017;11
15;PA;2017;21
16;AP;2017;2
17;TO;2017;7
21;MA;2017;12
22;PI;2017;9
23;CE;2017;32
24;RN;2017;17
