cod;nome;período;valor
29;BA;2003;1665
16;AP;2003;171
13;AM;2003;495
27;AL;2003;630
12;AC;2003;98
17;TO;2003;161
35;SP;2003;5839
28;SE;2003;278
42;SC;2003;101
43;RS;2003;354
14;RR;2003;80
11;RO;2003;375
24;RN;2003;277
33;RJ;2003;4948
41;PR;2003;412
22;PI;2003;241
26;PE;2003;3562
25;PB;2003;484
51;MT;2003;597
32;ES;2004;928
17;TO;2004;149
35;SP;2004;4720
28;SE;2004;270
42;SC;2004;99
43;RS;2004;384
14;RR;2004;66
11;RO;2004;372
24;RN;2004;246
33;RJ;2004;4787
41;PR;2004;537
22;PI;2004;251
26;PE;2004;3430
25;PB;2004;540
15;PA;2004;1351
51;MT;2004;572
50;MS;2004;372
31;MG;2004;2916
21;MA;2004;631
52;GO;2004;896
53;DF;2004;582
23;CE;2004;699
29;BA;2004;1859
16;AP;2004;160
13;AM;2004;440
27;AL;2004;708
12;AC;2004;80
50;MS;2005;347
12;AC;2005;87
27;AL;2005;812
13;AM;2005;506
16;AP;2005;172
29;BA;2005;2380
23;CE;2005;760
53;DF;2005;551
32;ES;2005;1014
52;GO;2005;1003
21;MA;2005;774
31;MG;2005;2870
51;MT;2005;631
22;PI;2005;295
41;PR;2005;639
33;RJ;2005;4658
24;RN;2005;275
11;RO;2005;391
14;RR;2005;73
43;RS;2005;407
42;SC;2005;94
28;SE;2005;345
35;SP;2005;3734
17;TO;2005;148
26;PE;2005;3517
25;PB;2005;608
15;PA;2005;1726
43;RS;2006;381
12;AC;2006;102
27;AL;2006;1078
13;AM;2006;584
16;AP;2006;186
29;BA;2006;2821
23;CE;2006;972
53;DF;2006;576
32;ES;2006;1111
52;GO;2006;1076
21;MA;2006;811
31;MG;2006;2759
50;MS;2006;366
42;SC;2006;93
28;SE;2006;406
35;SP;2006;3364
17;TO;2006;189
51;MT;2006;647
15;PA;2006;1867
25;PB;2006;697
26;PE;2006;3893
22;PI;2006;357
41;PR;2006;522
33;RJ;2006;4611
24;RN;2006;318
11;RO;2006;418
14;RR;2006;67
15;PA;2007;1953
17;TO;2007;191
35;SP;2007;2602
28;SE;2007;371
42;SC;2007;94
43;RS;2007;440
14;RR;2007;85
11;RO;2007;305
24;RN;2007;424
33;RJ;2007;4169
41;PR;2007;617
22;PI;2007;310
26;PE;2007;4032
25;PB;2007;759
51;MT;2007;615
50;MS;2007;369
31;MG;2007;2776
21;MA;2007;962
52;GO;2007;1052
32;ES;2007;1197
53;DF;2007;591
23;CE;2007;1367
29;BA;2007;3116
16;AP;2007;140
13;AM;2007;648
27;AL;2007;1247
12;AC;2007;91
50;MS;2008;361
12;AC;2008;74
27;AL;2008;1536
13;AM;2008;767
16;AP;2008;196
29;BA;2008;4137
23;CE;2008;1377
53;DF;2008;701
32;ES;2008;1252
52;GO;2008;1309
21;MA;2008;1097
31;MG;2008;2628
51;MT;2008;687
15;PA;2008;2585
25;PB;2008;928
26;PE;2008;3888
22;PI;2008;299
41;PR;2008;695
33;RJ;2008;3593
24;RN;2008;558
11;RO;2008;319
14;RR;2008;74
43;RS;2008;471
42;SC;2008;108
28;SE;2008;404
35;SP;2008;2464
17;TO;2008;194
35;SP;2009;2618
12;AC;2009;103
27;AL;2009;1595
13;AM;2009;846
16;AP;2009;168
29;BA;2009;4741
23;CE;2009;1360
53;DF;2009;753
32;ES;2009;1367
52;GO;2009;1446
21;MA;2009;1210
31;MG;2009;2507
17;TO;2009;231
50;MS;2009;399
51;MT;2009;738
15;PA;2009;2711
25;PB;2009;1153
26;PE;2009;3460
22;PI;2009;318
41;PR;2009;677
33;RJ;2009;3430
24;RN;2009;612
11;RO;2009;373
14;RR;2009;78
43;RS;2009;445
42;SC;2009;115
28;SE;2009;475
51;MT;2010;722
12;AC;2010;96
27;AL;2010;1696
13;AM;2010;980
16;AP;2010;205
29;BA;2010;5145
23;CE;2010;1711
53;DF;2010;680
32;ES;2010;1299
52;GO;2010;1533
21;MA;2010;1341
31;MG;2010;2515
50;MS;2010;374
15;PA;2010;3198
25;PB;2010;1325
26;PE;2010;3000
22;PI;2010;327
41;PR;2010;670
33;RJ;2010;3684
24;RN;2010;633
11;RO;2010;388
14;RR;2010;102
43;RS;2010;436
42;SC;2010;129
28;SE;2010;569
35;SP;2010;2442
17;TO;2010;280
50;MS;2011;416
12;AC;2011;99
27;AL;2011;2013
13;AM;2011;1131
16;AP;2011;179
29;BA;2011;4780
23;CE;2011;1647
53;DF;2011;784
32;ES;2011;1209
52;GO;2011;1721
21;MA;2011;1364
31;MG;2011;2906
51;MT;2011;740
15;PA;2011;2787
25;PB;2011;1441
26;PE;2011;3013
22;PI;2011;355
41;PR;2011;654
33;RJ;2011;3161
24;RN;2011;813
11;RO;2011;321
14;RR;2011;74
43;RS;2011;448
42;SC;2011;128
28;SE;2011;671
35;SP;2011;2473
17;TO;2011;288
28;SE;2012;800
12;AC;2012;171
27;AL;2012;1905
13;AM;2012;1183
16;AP;2012;215
29;BA;2012;5358
23;CE;2012;1921
53;DF;2012;849
32;ES;2012;1342
52;GO;2012;2134
21;MA;2012;1555
31;MG;2012;3200
35;SP;2012;2885
50;MS;2012;447
17;TO;2012;306
51;MT;2012;794
15;PA;2012;2942
25;PB;2012;1295
26;PE;2012;2991
22;PI;2012;453
41;PR;2012;758
33;RJ;2012;3228
24;RN;2012;861
11;RO;2012;374
14;RR;2012;100
43;RS;2012;514
42;SC;2012;174
41;PR;2013;599
12;AC;2013;194
27;AL;2013;1962
13;AM;2013;1026
16;AP;2013;177
29;BA;2013;5072
23;CE;2013;2213
53;DF;2013;747
32;ES;2013;1311
52;GO;2013;2268
21;MA;2013;1895
31;MG;2013;3350
50;MS;2013;400
51;MT;2013;860
15;PA;2013;3025
25;PB;2013;1292
26;PE;2013;2796
17;TO;2013;267
35;SP;2013;2676
28;SE;2013;877
42;SC;2013;117
43;RS;2013;487
14;RR;2013;137
11;RO;2013;316
24;RN;2013;1124
33;RJ;2013;3492
22;PI;2013;489
35;SP;2014;2840
17;TO;2014;296
27;AL;2014;1947
12;AC;2014;187
50;MS;2014;432
31;MG;2014;3412
21;MA;2014;2179
52;GO;2014;2198
32;ES;2014;1316
53;DF;2014;710
23;CE;2014;2507
29;BA;2014;5419
16;AP;2014;232
13;AM;2014;1102
51;MT;2014;1022
15;PA;2014;3135
25;PB;2014;1342
26;PE;2014;2907
22;PI;2014;589
41;PR;2014;604
33;RJ;2014;3954
24;RN;2014;1304
11;RO;2014;424
14;RR;2014;93
43;RS;2014;628
42;SC;2014;159
28;SE;2014;1003
35;SP;2015;2537
12;AC;2015;183
27;AL;2015;1656
13;AM;2015;1338
16;AP;2015;264
29;BA;2015;5446
23;CE;2015;2272
53;DF;2015;598
32;ES;2015;1168
52;GO;2015;2263
21;MA;2015;2118
31;MG;2015;3300
50;MS;2015;405
51;MT;2015;931
15;PA;2015;3375
25;PB;2015;1306
26;PE;2015;3373
22;PI;2015;544
41;PR;2015;660
33;RJ;2015;3517
24;RN;2015;1283
11;RO;2015;446
14;RR;2015;148
43;RS;2015;656
42;SC;2015;203
28;SE;2015;1221
17;TO;2015;381
53;DF;2016;622
12;AC;2016;307
27;AL;2016;1757
13;AM;2016;1324
16;AP;2016;362
29;BA;2016;6512
23;CE;2016;2512
32;ES;2016;1024
52;GO;2016;2349
21;MA;2016;2097
31;MG;2016;3346
50;MS;2016;415
51;MT;2016;922
15;PA;2016;3871
25;PB;2016;1187
26;PE;2016;3858
22;PI;2016;606
41;PR;2016;663
33;RJ;2016;4363
24;RN;2016;1553
11;RO;2016;517
14;RR;2016;155
43;RS;2016;757
42;SC;2016;240
28;SE;2016;1384
35;SP;2016;2219
17;TO;2016;456
53;DF;2017;486
11;RO;2017;397
12;AC;2017;428
13;AM;2017;1516
14;RR;2017;185
15;PA;2017;4144
16;AP;2017;351
17;TO;2017;437
21;MA;2017;1968
22;PI;2017;549
23;CE;2017;4905
24;RN;2017;1928
25;PB;2017;1227
26;PE;2017;4720
27;AL;2017;1740
28;SE;2017;1232
29;BA;2017;6798
31;MG;2017;3146
32;ES;2017;1214
33;RJ;2017;4650
35;SP;2017;2168
41;PR;2017;680
42;SC;2017;270
43;RS;2017;833
50;MS;2017;418
51;MT;2017;850
52;GO;2017;2284
43;RS;2018;673
11;RO;2018;351
12;AC;2018;350
13;AM;2018;1410
14;RR;2018;308
15;PA;2018;4113
16;AP;2018;389
17;TO;2018;466
21;MA;2018;1767
22;PI;2018;531
23;CE;2018;4477
24;RN;2018;1594
25;PB;2018;1156
26;PE;2018;3578
27;AL;2018;1175
28;SE;2018;1079
29;BA;2018;6089
31;MG;2018;2506
32;ES;2018;964
33;RJ;2018;4705
35;SP;2018;1747
41;PR;2018;670
42;SC;2018;174
50;MS;2018;358
51;MT;2018;766
52;GO;2018;2086
53;DF;2018;408
15;PA;2019;3093
52;GO;2019;1742
51;MT;2019;696
50;MS;2019;306
43;RS;2019;515
42;SC;2019;189
41;PR;2019;599
26;PE;2019;2908
35;SP;2019;1684
33;RJ;2019;2568
32;ES;2019;875
31;MG;2019;2145
29;BA;2019;5622
28;SE;2019;934
27;AL;2019;1082
11;RO;2019;327
12;AC;2019;277
13;AM;2019;1377
53;DF;2019;375
25;PB;2019;853
24;RN;2019;1194
23;CE;2019;2235
22;PI;2019;489
14;RR;2019;167
21;MA;2019;1498
17;TO;2019;369
16;AP;2019;347
